stop_id,stop_name,lon,lat,utmk_x,utmk_y,cell_100,cell_1000,zone
2163,하서,129.4619853,35.67595253,1177560.84,1743966.21,100_1177500_1743900,1000_1177000_1743000,경주시
2187,하서2리,129.4631539,35.67943415,1177658.89,1744354.54,100_1177600_1744300,1000_1177000_1744000,경주시
2185,하서2리,129.4642273,35.6801773,1177754.4,1744438.92,100_1177700_1744400,1000_1177000_1744000,경주시
30386,하선필,129.1368678,35.65052868,1148181.66,1740606.97,100_1148100_1740600,1000_1148000_1740000,울산광역시 울주군
30385,하선필,129.1367141,35.65047336,1148167.85,1740600.6,100_1148100_1740600,1000_1148000_1740000,울산광역시 울주군
15210,하월평,129.2091383,35.69856761,1154632.02,1746047.05,100_1154600_1746000,1000_1154000_1746000,울산광역시 울주군
15209,하월평,129.2089494,35.69862383,1154614.82,1746052.99,100_1154600_1746000,1000_1154000_1746000,울산광역시 울주군
15213,하월평입구,129.2140496,35.69361276,1155086.0,1745505.18,100_1155000_1745500,1000_1155000_1745000,울산광역시 울주군
15214,하월평입구,129.2143933,35.69352585,1155117.27,1745496.08,100_1155100_1745400,1000_1155000_1745000,울산광역시 울주군
24431,하작,129.1792305,35.52036769,1152263.31,1726233.9,100_1152200_1726200,1000_1152000_1726000,울산광역시 울주군
24432,하작,129.1793549,35.52051437,1152274.31,1726250.36,100_1152200_1726200,1000_1152000_1726000,울산광역시 울주군
24428,하잠,129.1622859,35.52361952,1150720.64,1726568.55,100_1150700_1726500,1000_1150000_1726000,울산광역시 울주군
24427,하잠,129.1622424,35.52354511,1150716.84,1726560.23,100_1150700_1726500,1000_1150000_1726000,울산광역시 울주군
15105,하차리,129.1269465,35.63228295,1147316.93,1738568.19,100_1147300_1738500,1000_1147000_1738000,울산광역시 울주군
15106,하차리,129.127026,35.63235973,1147323.99,1738576.83,100_1147300_1738500,1000_1147000_1738000,울산광역시 울주군
67229,하회마을,129.3324226,35.39856684,1166406.16,1712970.76,100_1166400_1712900,1000_1166000_1712000,울산광역시 울주군
67230,하회마을,129.3326749,35.39850273,1166429.21,1712964.07,100_1166400_1712900,1000_1166000_1712000,울산광역시 울주군
31709,학남,129.3407161,35.55385036,1166838.13,1730209.39,100_1166800_1730200,1000_1166000_1730000,울산광역시 중구
