lon,lat,pop
129.36785,35.57634,0
129.32515,35.6401,2492
129.30778,35.6043,37
129.31963,35.64018,0
129.3412,35.61731,8
129.369,35.6259,0
129.43468,35.60233,19
129.41748,35.57556,0
129.36285,35.59895,1705
129.30849,35.63584,12
129.31432,35.64927,11
129.37347,35.58076,37
129.3136,35.61773,0
129.364,35.64852,6
129.33047,35.631,1637
129.34775,35.66229,20
129.38355,35.54003,49
129.4297,35.62494,7
129.44074,35.62477,2128
129.41218,35.58466,0
129.41931,35.65215,31
129.43566,35.64288,9
129.3639,35.64401,1627
129.43414,35.5798,19
129.34109,35.61281,12
129.35234,35.62165,117
129.42494,35.65657,0
129.36233,35.57642,58
129.33057,35.63551,6117
129.33119,35.66254,15
129.44085,35.62927,22
129.45068,35.57953,127
129.35661,35.5675,229
129.46215,35.59738,68
129.43479,35.60683,39
129.38386,35.55355,1404
129.3364,35.64894,0
129.34233,35.66688,111
129.36931,35.63942,0
129.39744,35.66152,0
129.4125,35.59817,0
129.34744,35.64877,991
129.35733,35.59904,260
129.34244,35.67139,0
129.41282,35.61169,0
129.36973,35.65744,0
129.45686,35.60648,140
129.31861,35.59512,0
129.42397,35.61602,54
129.36181,35.55389,209
129.40275,35.65242,0
129.42949,35.61593,8
129.3513,35.57659,871
129.36764,35.56732,9
129.37305,35.56273,518
129.45079,35.58404,0
129.45631,35.58395,169
129.45697,35.61098,185
129.42354,35.598,0
129.38407,35.56256,676
129.34682,35.62174,6
129.33558,35.61289,11
129.36275,35.59445,4597
129.40827,35.65233,21
129.45156,35.61558,145
129.34723,35.63976,2544
129.41272,35.60719,18
129.41942,35.65666,182
129.39436,35.53085,4366
129.4192,35.64765,82
129.37399,35.60329,19
129.31882,35.60413,0
129.42959,35.62044,0
129.30788,35.6088,18
129.44052,35.61576,0
129.40517,35.52166,0
129.34692,35.62624,117
129.30237,35.60889,0
129.35265,35.63517,1637
129.35723,35.59453,815
129.36837,35.59887,5020
129.31943,35.63117,13
129.4349,35.61134,15
129.37315,35.56724,0
129.16582,35.67847,0
129.14096,35.54358,343
129.23923,35.49712,624
129.06403,35.55812,6
129.19391,35.70061,0
129.2403,35.54669,0
129.27563,35.39743,0
129.22143,35.69571,0
129.10761,35.5305,62
129.24957,35.46542,0
