stop_id,lon,lat
24417,129.1495802,35.51182777
24463,129.1407908,35.50263368
24464,129.1408628,35.50226858
24462,129.1496002,35.50801023
24461,129.1494666,35.50814791
77506,129.2841796,35.33554351
77505,129.2840267,35.33563448
64807,129.3047879,35.52995484
15618,129.1204409,35.57048537
15601,129.1206084,35.57048242
15412,129.1403524,35.54705004
15411,129.1399579,35.54689784
57179,129.0931613,35.2423646
57177,129.0927823,35.24220217
57142,129.0912805,35.25065644
30593,129.0986469,35.29170851
30594,129.0988406,35.29154024
27921,129.4522224,35.58024541
27922,129.4526432,35.58041801
27931,129.451988,35.58004547
27930,129.4519752,35.58016737
61306,129.4500636,35.57986201
61305,129.4494572,35.57961962
72001,129.3051936,35.57534177
72000,129.3056611,35.57537698
25516,129.3608666,35.64992702
25515,129.360672,35.65006419
15970,129.2820458,35.32914434
67008,129.2824036,35.32960609
77507,129.2834948,35.32982687
77508,129.2829891,35.3298077
62102,129.2901405,35.57723819
62101,129.2902521,35.57728557
62104,129.2944617,35.57627109
62103,129.2945757,35.57611123
72003,129.3011823,35.57267055
72002,129.3014845,35.57264946
19016,129.4102792,35.47883279
19014,129.4098083,35.4781034
70519,129.4109477,35.48584222
70520,129.4108461,35.48591018
70518,129.4096288,35.48382346
70517,129.4097034,35.48366769
26503,129.4113419,35.48159553
26504,129.4116928,35.48190726
23334,129.3432864,35.35679871
23319,129.3411728,35.35767904
23321,129.3347177,35.35699915
23322,129.3355657,35.35703436
23320,129.3396783,35.35727581
23361,129.3402191,35.35698405
23360,129.3402039,35.35693253
23330,129.3426732,35.35502619
23339,129.3427557,35.35502684
23338,129.3421182,35.35639731
23337,129.3422065,35.35640686
22115,129.3036748,35.48447264
22116,129.3039071,35.4845065
2192,129.4711363,35.69939707
2028,129.4710112,35.69910456
63509,129.3213783,35.54749917
63510,129.3213981,35.54764859
24002,129.33771,35.52359065
24001,129.3376949,35.52339446
21220,129.3074188,35.54959688
22809,129.326888,35.54590931
63301,129.3269768,35.54606384
23702,129.3358404,35.54569243
23701,129.3356015,35.54554122
31502,129.2941383,35.47505383
22107,129.2950041,35.47523453
22108,129.2953503,35.47550635
31501,129.2939041,35.47492276
31009,129.330618,35.54278241
31010,129.3305806,35.54303183
24243,129.4252583,35.53937513
24209,129.4255749,35.53932548
24210,129.4257316,35.53953455
24208,129.4207982,35.5391062
24217,129.4328884,35.52446545
24218,129.4331544,35.52436731
27716,129.4312085,35.54538585
27715,129.4310382,35.54501063
24205,129.4192247,35.53761068
24206,129.418572,35.53730278
27720,129.4269266,35.54201775
27719,129.4267898,35.54206669
27722,129.4254571,35.54065003
27721,129.4253212,35.54074687
27723,129.4300791,35.54470471
27724,129.4300494,35.54458234
27728,129.426311,35.54284679
27727,129.425903,35.54240943
27718,129.4298714,35.54246823
27501,129.4292771,35.54147145
27502,129.4294571,35.54154139
27717,129.4297482,35.54251134
27725,129.4299429,35.54547277
27726,129.4299156,35.54562972
63504,129.3135651,35.54561438
